feature,importance
feature_17,0.043092152502233014
feature_15,0.042152039588262004
feature_13,0.04190075334399892
secret_risk_score,0.041746168985058014
feature_29,0.0400151715955638
feature_16,0.039834331582833546
language_entropy,0.03970592162239965
feature_25,0.03925127185547038
feature_28,0.039162788722314636
feature_22,0.03902531574947124
external_import_ratio,0.038510957088876085
feature_20,0.03845919022595631
feature_14,0.03839886570669968
code_to_text_ratio,0.03727983115532303
comment_ratio,0.03694585921101692
feature_27,0.03661900948613043
template_indicator,0.03629177877821493
feature_19,0.03597270554401913
feature_26,0.03583325658324554
log_lines_of_code,0.035532826399033685
feature_24,0.03461786232596682
feature_23,0.03457636210892524
feature_18,0.033472319448651235
feature_21,0.03255549725644644
import_count,0.024155777394582426
function_count,0.023660740431175675
nesting_depth,0.018597251203785595
class_count,0.013458739035241961
permissive_license,0.004936981631810618
spdx_header_present,0.0042382734372931235
